t nact i x dx dlx rho vx p D sx tau trac Sd
1.003547944681137e+03 2000 50 3.535670751340185e+00 1.712357522794861e-03 1.712357522794861e-03 4.382246752643994e-11 9.999297490894694e-01 1.000000004631621e-10 3.697119419396959e-09 2.917354954983636e-06 2.913762796804418e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 51 3.537428311031996e+00 1.802761860827395e-03 1.802761860827395e-03 4.376286456847363e-11 9.999298085180652e-01 1.000000004622761e-10 3.693653560150973e-09 2.919654860190525e-06 2.916066155916981e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 52 3.539233483708449e+00 1.807583492077214e-03 1.807583492077214e-03 4.368956360818651e-11 9.999299019004583e-01 1.000000004614737e-10 3.689922103248509e-09 2.923335084943644e-06 2.919750097439238e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 53 3.541032176637454e+00 1.789802365932847e-03 1.789802365932847e-03 4.361980216239436e-11 9.999299830832730e-01 1.000000004616855e-10 3.686165284318432e-09 2.926525455324380e-06 2.922944210676615e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 54 3.542816975227903e+00 1.779794814965374e-03 1.779794814965374e-03 4.355681301933034e-11 9.999300444107198e-01 1.000000004601810e-10 3.682455298480340e-09 2.928911213377815e-06 2.925333666123219e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 55 3.544570841985781e+00 1.727938700791576e-03 1.727938700791576e-03 4.348903916364115e-11 9.999301171737606e-01 1.000000004597685e-10 3.678639009908505e-09 2.931767368297825e-06 2.928193623795637e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 56 3.546336461989246e+00 1.803301306138483e-03 1.803301306138483e-03 4.342881298945501e-11 9.999301793759615e-01 1.000000004577147e-10 3.675180547558515e-09 2.934207327706780e-06 2.930637029650466e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 57 3.548118092378612e+00 1.759959472592332e-03 1.759959472592332e-03 4.336533030082009e-11 9.999302394110658e-01 1.000000004578593e-10 3.671387001055475e-09 2.936551275528540e-06 2.932984758365283e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 58 3.549863999209813e+00 1.731854189810811e-03 1.731854189810811e-03 4.330288815027214e-11 9.999302975728915e-01 1.000000004567926e-10 3.667629716711238e-09 2.938823423751956e-06 2.935260651439325e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 59 3.551640395242049e+00 1.820937874659645e-03 1.820937874659645e-03 4.323953622578398e-11 9.999303702369813e-01 1.000000004551598e-10 3.664174355683752e-09 2.941709529070854e-06 2.938150199515389e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 60 3.553455961938186e+00 1.810195517615742e-03 1.810195517615742e-03 4.317299368504590e-11 9.999304424769299e-01 1.000000004539601e-10 3.660434707242776e-09 2.944574782387071e-06 2.941019179255309e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 61 3.555253331171111e+00 1.784542948234158e-03 1.784542948234158e-03 4.311014737063334e-11 9.999305020958363e-01 1.000000004546141e-10 3.656673643639918e-09 2.946921455130494e-06 2.943369600585764e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 62 3.557054746352970e+00 1.818287415483510e-03 1.818287415483510e-03 4.305008364195000e-11 9.999305597977551e-01 1.000000004537184e-10 3.653095726668031e-09 2.949198852985698e-06 2.945650564445241e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 63 3.558855939557079e+00 1.784098992734684e-03 1.784098992734684e-03 4.298080004405488e-11 9.999306415079519e-01 1.000000004526475e-10 3.649364195374086e-09 2.952475574343615e-06 2.948931003605599e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 64 3.560628068535664e+00 1.760158964434044e-03 1.760158964434044e-03 4.291587319836615e-11 9.999307125212681e-01 1.000000004514134e-10 3.645718225623713e-09 2.955316335543488e-06 2.951775397923890e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 65 3.562365868388403e+00 1.715440741045349e-03 1.715440741045349e-03 4.285456217451809e-11 9.999307706171746e-01 1.000000004520215e-10 3.642036981115682e-09 2.957621454083357e-06 2.954084185585682e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 66 3.564092682528710e+00 1.738187539568337e-03 1.738187539568337e-03 4.279579489603186e-11 9.999308275736684e-01 1.000000004506417e-10 3.638539594696034e-09 2.959889113746461e-06 2.956355331026514e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 67 3.565831392562409e+00 1.739232527829593e-03 1.739232527829593e-03 4.272849377403056e-11 9.999309091889982e-01 1.000000004504180e-10 3.634962561646035e-09 2.963193564193594e-06 2.959663345223904e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 68 3.567587107644592e+00 1.772197636535022e-03 1.772197636535022e-03 4.266615764468638e-11 9.999309782525952e-01 1.000000004490919e-10 3.631474968189932e-09 2.965980718741964e-06 2.962453975076214e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 69 3.569331626704692e+00 1.716840483665827e-03 1.716840483665827e-03 4.260473893105653e-11 9.999310342762482e-01 1.000000004478268e-10 3.627719917676579e-09 2.968214899846483e-06 2.964691899135786e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 70 3.571117427229048e+00 1.854760565046298e-03 1.854760565046298e-03 4.254913295386508e-11 9.999310918386588e-01 1.000000004471004e-10 3.624498026485733e-09 2.970535799918906e-06 2.967016010158214e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 71 3.572901623522858e+00 1.713632022574352e-03 1.713632022574352e-03 4.248135219994119e-11 9.999311602613838e-01 1.000000004470020e-10 3.620522095253064e-09 2.973295015950670e-06 2.969779188797843e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 72 3.574626135970023e+00 1.735392871755170e-03 1.735392871755170e-03 4.241494647695714e-11 9.999312415628863e-01 1.000000004450662e-10 3.616999033134482e-09 2.976621304497585e-06 2.973108987366390e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 73 3.576406251444097e+00 1.824838076392776e-03 1.824838076392776e-03 4.235434372485071e-11 9.999313100685268e-01 1.000000004449362e-10 3.613631600963469e-09 2.979417085489158e-06 2.975908123901951e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 74 3.578233094859931e+00 1.828848755276447e-03 1.828848755276447e-03 4.229450722274600e-11 9.999313673445090e-01 1.000000004439510e-10 3.610031753871768e-09 2.981732836592329e-06 2.978227463126795e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 75 3.580009813979098e+00 1.724589483055983e-03 1.724589483055983e-03 4.222881914034917e-11 9.999314342028298e-01 1.000000004436191e-10 3.606181816302302e-09 2.984452979627237e-06 2.980951443239833e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 76 3.581770432904491e+00 1.796648367732079e-03 1.796648367732079e-03 4.217205354861276e-11 9.999314912872490e-01 1.000000004430498e-10 3.602834278763768e-09 2.986777889184059e-06 2.983279689232547e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 77 3.583529737509431e+00 1.721960842146153e-03 1.721960842146153e-03 4.210004659244571e-11 9.999315824744555e-01 1.000000004412687e-10 3.599078552931714e-09 2.990553324351851e-06 2.987058866056551e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 78 3.585289507495916e+00 1.797579130823568e-03 1.797579130823568e-03 4.204024728149961e-11 9.999316504747449e-01 1.000000004412450e-10 3.595753682980013e-09 2.993358057314063e-06 2.989866912217678e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 79 3.587072136643879e+00 1.767679165103786e-03 1.767679165103786e-03 4.198032999597056e-11 9.999317078947091e-01 1.000000004405724e-10 3.592138015040820e-09 2.995704001783628e-06 2.992216460673610e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 80 3.588816006632781e+00 1.720060812700375e-03 1.720060812700375e-03 4.191651048728963e-11 9.999317767920722e-01 1.000000004405610e-10 3.588487701159173e-09 2.998547322526370e-06 2.995063419299645e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 81 3.590575297808121e+00 1.798521537978992e-03 1.798521537978992e-03 4.185993877792767e-11 9.999318353982327e-01 1.000000004393461e-10 3.585184755463319e-09 3.000964094417743e-06 2.997483483128923e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 82 3.592352834051841e+00 1.756550949460589e-03 1.756550949460589e-03 4.180035450716434e-11 9.999318915457673e-01 1.000000004381333e-10 3.581556859127680e-09 3.003268164135088e-06 2.999791169160221e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 83 3.594095148371149e+00 1.728077689155505e-03 1.728077689155505e-03 4.174197432716304e-11 9.999319456057462e-01 1.000000004374913e-10 3.577974915438928e-09 3.005487435952880e-06 3.002014011584459e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 84 3.595857849720950e+00 1.797325010445938e-03 1.797325010445938e-03 4.168238806449052e-11 9.999320135885417e-01 1.000000004364914e-10 3.574653222609171e-09 3.008322922816673e-06 3.004852808579529e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 85 3.597633001775725e+00 1.752979099103325e-03 1.752979099103325e-03 4.161973308362182e-11 9.999320805931443e-01 1.000000004369025e-10 3.571040083009711e-09 3.011112136379391e-06 3.007645623137565e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 86 3.599377034668682e+00 1.735086686811993e-03 1.735086686811993e-03 4.156181115030329e-11 9.999321353081944e-01 1.000000004351248e-10 3.567507499022269e-09 3.013374728557208e-06 3.009911736684389e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 87 3.601133209883078e+00 1.777263741980839e-03 1.777263741980839e-03 4.150621975727104e-11 9.999321883217140e-01 1.000000004350961e-10 3.564128056408739e-09 3.015572100605878e-06 3.012112477421987e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 88 3.602901714839454e+00 1.759746170771237e-03 1.759746170771237e-03 4.144168647747426e-11 9.999322642886366e-01 1.000000004330602e-10 3.560581486187377e-09 3.018770230963068e-06 3.015314141876923e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 89 3.604679045077767e+00 1.794914305853545e-03 1.794914305853545e-03 4.138201644085901e-11 9.999323306537720e-01 1.000000004330459e-10 3.557197742110858e-09 3.021560788154324e-06 3.018108071291990e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 90 3.606434349349727e+00 1.715694238066501e-03 1.715694238066501e-03 4.130937549364696e-11 9.999324282733165e-01 1.000000004329935e-10 3.553517510877685e-09 3.025718939914447e-06 3.022269889272545e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 91 3.608158609330877e+00 1.732825724233056e-03 1.732825724233056e-03 4.124594307179801e-11 9.999325060889017e-01 1.000000004309010e-10 3.550105593603441e-09 3.029026568138565e-06 3.025580917193879e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 92 3.609915053016945e+00 1.780061647902897e-03 1.780061647902897e-03 4.118843871690774e-11 9.999325656918975e-01 1.000000004306586e-10 3.546722425291609e-09 3.031539921748297e-06 3.028097642906194e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 93 3.611705945340773e+00 1.801722999755118e-03 1.801722999755118e-03 4.112255672555095e-11 9.999326489418559e-01 1.000000004304121e-10 3.543237074838479e-09 3.035099288870578e-06 3.031660482712625e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 94 3.613533578859675e+00 1.853544038048494e-03 1.853544038048494e-03 4.106130518753697e-11 9.999327209895368e-01 1.000000004297265e-10 3.539853259817978e-09 3.038174905108603e-06 3.034739471002703e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 95 3.615347742951313e+00 1.774784145226693e-03 1.774784145226693e-03 4.100036850918172e-11 9.999327804209142e-01 1.000000004284257e-10 3.536162110031527e-09 3.040687366750521e-06 3.037255612105169e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 96 3.617101509355937e+00 1.732748664021511e-03 1.732748664021511e-03 4.094154519648547e-11 9.999328377235862e-01 1.000000004288338e-10 3.532594756910896e-09 3.043114019527839e-06 3.039685820963152e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 97 3.618853982639226e+00 1.772197902556449e-03 1.772197902556449e-03 4.088428460498483e-11 9.999328976728643e-01 1.000000004266456e-10 3.529229491704202e-09 3.045669561309967e-06 3.042244717047811e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 98 3.620638457080095e+00 1.796750979180750e-03 1.796750979180750e-03 4.081904567381057e-11 9.999329815853730e-01 1.000000004258747e-10 3.525803062344518e-09 3.049297056076475e-06 3.045875625764867e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 99 3.622447307948053e+00 1.820950756736828e-03 1.820950756736828e-03 4.075777091015418e-11 9.999330534230225e-01 1.000000004255543e-10 3.522398656133300e-09 3.052394488721539e-06 3.048976451108858e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 100 3.624217795778047e+00 1.720024903249850e-03 1.720024903249850e-03 4.069641272774112e-11 9.999331132663584e-01 1.000000004255678e-10 3.518668875796964e-09 3.054950581401792e-06 3.051536261859655e-06 1.000000000000000e+00 0.000000000000000e+00
