t nact i x dx dlx rho vx p D sx tau trac Sd gmin gmax
1.000000000000000e+02 2000 36 9.362310241974134e-02 1.651142271230853e-03 1.651142271230853e-03 1.103465057233601e-09 9.999500000000000e-01 5.545696492611847e-16 1.103478850805424e-07 1.103439688140580e-05 1.092460074320213e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 37 9.527424469097218e-02 1.651142271230853e-03 1.651142271230853e-03 1.065549459155846e-09 9.999500000000000e-01 5.293092310122874e-16 1.065562778773807e-07 1.065524936937330e-05 1.054922588007453e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 38 9.692538696220304e-02 1.651142271230853e-03 1.651142271230853e-03 1.029555006583777e-09 9.999500000000000e-01 5.056042593106884e-16 1.029567876262644e-07 1.029531289431557e-05 1.019287089756798e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 39 9.857652923343389e-02 1.651142271230853e-03 1.651142271230853e-03 9.953540681177919e-10 9.999500000000000e-01 4.833348516641134e-16 9.953665102769135e-08 9.953311169350076e-06 9.854272208282037e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 40 1.002276715046647e-01 1.651142271230853e-03 1.651142271230853e-03 9.628294379644839e-10 9.999500000000000e-01 4.623921624870736e-16 9.628414735581062e-08 9.628072161491207e-06 9.532269441352464e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 41 1.018788137758956e-01 1.651142271230853e-03 1.651142271230853e-03 9.318733304431889e-10 9.999500000000000e-01 4.426772068348881e-16 9.318849790782124e-08 9.318518036920121e-06 9.225795487768927e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 42 1.035299560471264e-01 1.651142271230853e-03 1.651142271230853e-03 9.023864858372389e-10 9.999500000000000e-01 4.240998260299829e-16 9.023977658797942e-08 9.023656219679427e-06 8.933867648038600e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 43 1.051810983183573e-01 1.651142271230853e-03 1.651142271230853e-03 8.742773737183063e-10 9.999500000000000e-01 4.065777761318685e-16 8.742883023903725e-08 8.742571425079357e-06 8.655579744862518e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 44 1.068322405895882e-01 1.651142271230853e-03 1.651142271230853e-03 8.474614817865857e-10 9.999500000000000e-01 3.900359230108846e-16 8.474720752537182e-08 8.474418548245166e-06 8.390095082444274e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 45 1.084833828608190e-01 1.651142271230853e-03 1.651142271230853e-03 8.218606798947581e-10 9.999500000000000e-01 3.744055301443769e-16 8.218709533458673e-08 8.218416304487299e-06 8.136640150140598e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 46 1.101345251320499e-01 1.651142271230853e-03 1.651142271230853e-03 7.974026503071508e-10 9.999500000000000e-01 3.596236272401829e-16 7.974126180271582e-08 7.973841532010166e-06 7.894498981860028e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 47 1.117856674032807e-01 1.651142271230853e-03 1.651142271230853e-03 7.740203764261199e-10 9.999500000000000e-01 3.456324494694957e-16 7.740300518622238e-08 7.740024079281358e-06 7.663008094304497e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 48 1.134368096745116e-01 1.651142271230853e-03 1.651142271230853e-03 7.516516832277684e-10 9.999500000000000e-01 3.323789385111828e-16 7.516610790499650e-08 7.516342209483777e-06 7.441551937148670e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 49 1.150879519457424e-01 1.651142271230853e-03 1.651142271230853e-03 7.302388235153158e-10 9.999500000000000e-01 3.198142978149862e-16 7.302479516717478e-08 7.302218463134959e-06 7.229558796827585e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 50 1.167390942169733e-01 1.651142271230853e-03 1.651142271230853e-03 7.097281048430207e-10 9.999500000000000e-01 3.078935955166965e-16 7.097369766106624e-08 7.097115927403706e-06 7.026497102974793e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 51 1.183902364882041e-01 1.651142271230853e-03 1.651142271230853e-03 6.900695526050413e-10 9.999500000000000e-01 2.965754093132996e-16 6.900781786361729e-08 6.900534867068721e-06 6.831872092904082e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 52 1.200413787594350e-01 1.651142271230853e-03 1.651142271230853e-03 6.712166053374711e-10 9.999500000000000e-01 2.858215083541176e-16 6.712249957023435e-08 6.712009677602394e-06 6.645222795011082e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 53 1.216925210306658e-01 1.651142271230853e-03 1.651142271230853e-03 6.531258387610303e-10 9.999500000000000e-01 2.755965678449797e-16 6.531340029870808e-08 6.531106125655313e-06 6.466119296715872e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 54 1.233436633018967e-01 1.651142271230853e-03 1.651142271230853e-03 6.357567155074041e-10 9.999500000000000e-01 2.658679126129809e-16 6.357646626153432e-08 6.357418846371949e-06 6.294160266681208e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 55 1.249948055731275e-01 1.651142271230853e-03 1.651142271230853e-03 6.190713578332233e-10 9.999500000000000e-01 2.566052863532036e-16 6.190790963702812e-08 6.190569070578066e-06 6.128970704615158e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 56 1.266459478443584e-01 1.651142271230853e-03 1.651142271230853e-03 6.030343409399256e-10 9.999500000000000e-01 2.477806436874277e-16 6.030418790105139e-08 6.030202558022670e-06 5.970199895077999e-06 0.000000000000000e+00 0.000000000000000e+00 9.999999999999999e-01 9.999999999999999e-01
1.000000000000000e+02 2000 57 1.282970901155892e-01 1.651142271230853e-03 1.651142271230853e-03 5.876125047918065e-10 9.999500000000000e-01 2.393679625180244e-16 5.876198500858286e-08 5.875987715598078e-06 5.817519544426611e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 58 1.299482323868201e-01 1.651142271230853e-03 1.651142271230853e-03 5.727747825640386e-10 9.999500000000000e-01 2.313430744660391e-16 5.727819423830556e-08 5.727613881856204e-06 5.670622082400399e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 59 1.315993746580509e-01 1.651142271230853e-03 1.651142271230853e-03 5.584920440620555e-10 9.999500000000000e-01 2.236835114477938e-16 5.584990253434939e-08 5.584789761235412e-06 5.529219111928113e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 60 1.332505169292818e-01 1.651142271230853e-03 1.651142271230853e-03 5.447369526375032e-10 9.999500000000000e-01 2.163683666749560e-16 5.447437619770752e-08 5.447241993250247e-06 5.393039992554619e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 61 1.349016592005126e-01 1.651142271230853e-03 1.651142271230853e-03 5.314838342874075e-10 9.999500000000000e-01 2.093781685638473e-16 5.314904779598941e-08 5.314713843510784e-06 5.261830544485041e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 62 1.365528014717435e-01 1.651142271230853e-03 1.651142271230853e-03 5.187085577652572e-10 9.999500000000000e-01 2.026947662149468e-16 5.187150417437932e-08 5.186964004858852e-06 5.135351861650080e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 63 1.382039437429743e-01 1.651142271230853e-03 1.651142271230853e-03 5.063884246578833e-10 9.999500000000000e-01 1.963012252766385e-16 5.063947546318682e-08 5.063765498160156e-06 5.013379223435622e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 64 1.398550860142052e-01 1.651142271230853e-03 1.651142271230853e-03 4.945020684925031e-10 9.999500000000000e-01 1.901817331412433e-16 4.945082498842502e-08 4.944904663396125e-06 4.895701095813567e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 65 1.415062282854361e-01 1.651142271230853e-03 1.651142271230853e-03 4.830293620359639e-10 9.999500000000000e-01 1.843215125388687e-16 4.830354000161916e-08 4.830180232676094e-06 4.782118213577842e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 66 1.431573705566669e-01 1.651142271230853e-03 1.651142271230853e-03 4.719513320347140e-10 9.999500000000000e-01 1.787067426977818e-16 4.719572315369705e-08 4.719402477655162e-06 4.672442736245736e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 67 1.448085128278978e-01 1.651142271230853e-03 1.651142271230853e-03 4.612500807206814e-10 9.999500000000000e-01 1.733244873307583e-16 4.612558464547886e-08 4.612392424609722e-06 4.566497470943707e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 68 1.464596550991286e-01 1.651142271230853e-03 1.651142271230853e-03 4.509087134763282e-10 9.999500000000000e-01 1.681626287867933e-16 4.509143499409212e-08 4.508981131103460e-06 4.464115156270777e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 69 1.481107973703595e-01 1.651142271230853e-03 1.651142271230853e-03 4.409112721126781e-10 9.999500000000000e-01 1.632098077780886e-16 4.409167836069110e-08 4.409009018781902e-06 4.365137801732014e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 70 1.497619396415903e-01 1.651142271230853e-03 1.651142271230853e-03 4.312426732680075e-10 9.999500000000000e-01 1.584553681545291e-16 4.312480639024889e-08 4.312325257372511e-06 4.269416077868027e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 71 1.514130819128212e-01 1.651142271230853e-03 1.651142271230853e-03 4.218886514829402e-10 9.999500000000000e-01 1.538893062529895e-16 4.218939251899571e-08 4.218787195447842e-06 4.176808752682225e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 72 1.530642241840520e-01 1.651142271230853e-03 1.651142271230853e-03 4.128357065505866e-10 9.999500000000000e-01 1.495022243976529e-16 4.128408670936703e-08 4.128259833938238e-06 4.087182170392231e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 73 1.547153664552829e-01 1.651142271230853e-03 1.651142271230853e-03 4.040710547787018e-10 9.999500000000000e-01 1.452852881708488e-16 4.040761057615842e-08 4.040615338763885e-06 4.000409768911422e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 74 1.563665087265137e-01 1.651142271230853e-03 1.651142271230853e-03 3.955825838351592e-10 9.999500000000000e-01 1.412301871124162e-16 3.955875287101655e-08 3.955732589299267e-06 3.916371632806310e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 75 1.580176509977446e-01 1.651142271230853e-03 1.651142271230853e-03 3.873588108787829e-10 9.999500000000000e-01 1.373290985398320e-16 3.873636529547000e-08 3.873496759690504e-06 3.834954078779915e-06 0.000000000000000e+00 0.000000000000000e+00 9.999999999999999e-01 9.999999999999999e-01
1.000000000000000e+02 2000 76 1.596687932689754e-01 1.651142271230853e-03 1.651142271230853e-03 3.793888437051633e-10 9.999500000000000e-01 1.335746542118478e-16 3.793935861546228e-08 3.793798930321899e-06 3.756049271004350e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 77 1.613199355402063e-01 1.651142271230853e-03 1.651142271230853e-03 3.716623446618674e-10 9.999500000000000e-01 1.299599095855696e-16 3.716669905282781e-08 3.716535726975827e-06 3.679554863871192e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 78 1.629710778114372e-01 1.651142271230853e-03 1.651142271230853e-03 3.641694971097209e-10 9.999500000000000e-01 1.264783154411968e-16 3.641740493137812e-08 3.641608985452799e-06 3.605373669948693e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 79 1.646222200826680e-01 1.651142271230853e-03 1.651142271230853e-03 3.569009742269082e-10 9.999500000000000e-01 1.231236916703476e-16 3.569054355727290e-08 3.568925439619230e-06 3.533413351133574e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 80 1.662733623538988e-01 1.651142271230853e-03 1.651142271230853e-03 3.498479099707002e-10 9.999500000000000e-01 1.198902030433162e-16 3.498522831515649e-08 3.498396431030988e-06 3.463586131163921e-06 0.000000000000000e+00 0.000000000000000e+00 9.999999999999999e-01 9.999999999999999e-01
1.000000000000000e+02 2000 81 1.679245046251297e-01 1.651142271230853e-03 1.651142271230853e-03 3.430018720279384e-10 9.999500000000000e-01 1.167723367880225e-16 3.430061596317244e-08 3.429937638444115e-06 3.395808527821365e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 82 1.695756468963606e-01 1.651142271230853e-03 1.651142271230853e-03 3.363548366001139e-10 9.999500000000000e-01 1.137648818290172e-16 3.363590411143992e-08 3.363468825671083e-06 3.330001103296254e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 83 1.712267891675914e-01 1.651142271230853e-03 1.651142271230853e-03 3.298991648822090e-10 9.999500000000000e-01 1.108629095489347e-16 3.299032886990849e-08 3.298913606374327e-06 3.266088231321571e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 84 1.728779314388222e-01 1.651142271230853e-03 1.651142271230853e-03 3.236275811065066e-10 9.999500000000000e-01 1.080617559473816e-16 3.236316265271155e-08 3.236199224509105e-06 3.203997879800459e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 85 1.745290737100531e-01 1.651142271230853e-03 1.651142271230853e-03 3.175331520334900e-10 9.999500000000000e-01 1.053570050835945e-16 3.175371212723071e-08 3.175256349236970e-06 3.143661407760382e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 86 1.761802159812840e-01 1.651142271230853e-03 1.651142271230853e-03 3.116092677818507e-10 9.999500000000000e-01 1.027444736994165e-16 3.116131629707264e-08 3.116018883230026e-06 3.085013375564806e-06 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
